surface,atmosphere,logZ,logZ_err,ΔlnZ,bayes_factor
greybody,10bar_CO2,-15.028872261195314,0.026291161286382616,-5.992655352901979,0.0024970247573346894
greybody,100bar_CO2,-14.796345672375413,0.026567836075010346,-5.7601287640820775,0.0031507058745738345
greybody,001bar_H2O,-11.50337521003651,0.03727435074058451,-2.467158301743174,0.08482556549357231
greybody,01bar_H2O,-11.531022200570057,0.03812830043925543,-2.4948052922767214,0.08251251565184105
greybody,1bar_H2O,-12.46320899771068,0.04579859237695637,-3.426992089417345,0.032484504452650935
greybody,10bar_H2O,-11.465053727661482,0.03750388218991156,-2.428836819368147,0.08813929490046146
greybody,100bar_H2O,-11.379973096598233,0.03550712976908006,-2.343756188304898,0.09596649217324739
greybody,001bar_SO2,-36.22870473256599,0.11342460878024772,-27.192487824272654,1.5504315191795555e-12
greybody,01bar_SO2,-40.36176702393295,0.13774141913392016,-31.325550115639615,2.485915957687233e-14
greybody,1bar_SO2,-43.03608777683439,0.14731158449775889,-33.99987086854106,1.7141297653285388e-15
greybody,10bar_SO2,-43.67042709951675,0.1498357224986553,-34.63421019122342,9.089785373925444e-16
greybody,100bar_SO2,-44.273772511041365,0.1502496005983726,-35.23755560274803,4.971919014278513e-16
greybody,001bar_CH4,-16.340047540869698,0.06074402369173565,-7.3038306325763624,0.0006729559843745831
greybody,01bar_CH4,-15.967419634931389,0.06140080818222525,-6.931202726638054,0.0009768253077796782
greybody,1bar_CH4,-15.49513758429674,0.05978487128513156,-6.458920676003405,0.0015664855437289515
greybody,10bar_CH4,-15.191850920044017,0.05828324571821435,-6.155634011750681,0.002121495505758089
greybody,100bar_CH4,-14.813511550723913,0.05641180585801735,-5.7772946424305776,0.003097082801137712
greybody,001bar_N2_1000ppm_CO2,-10.84729575415375,0.028489012166954715,-1.8110788458604148,0.16347767441964595
greybody,01bar_N2_1000ppm_CO2,-11.797218367518257,0.04654533684361976,-2.7610014592249215,0.06322841596207164
greybody,1bar_N2_1000ppm_CO2,-11.937843610434584,0.022359279361390077,-2.9016267021412485,0.05493378642718247
greybody,10bar_N2_1000ppm_CO2,-15.995668501917216,0.02418878872047023,-6.95945159362388,0.0009496172079001829
greybody,100bar_N2_1000ppm_CO2,-19.05979238956011,0.023260201409187144,-10.023575481266773,4.4342122717873444e-05
greybody,001bar_N2_1000ppm_H2O,-10.908534576480454,0.02454846590472746,-1.8723176681871188,0.15376686793188893
greybody,01bar_N2_1000ppm_H2O,-13.211444147614491,0.03299609966808394,-4.175227239321156,0.015371698203846866
greybody,1bar_N2_1000ppm_H2O,-19.567146539452857,0.09278459135957826,-10.530929631159522,2.669779364050774e-05
greybody,10bar_N2_1000ppm_H2O,-22.602488210098258,0.10048414152954988,-13.566271301804923,1.2830489737193384e-06
greybody,100bar_N2_1000ppm_H2O,-13.322094031888243,0.05972163822183544,-4.285877123594908,0.013761545649661042
