0.468,0.0258
0.47,0.0258
0.472,0.0257
0.474,0.0255
0.476,0.0255
0.478,0.0254
0.48,0.0250
0.482,0.0251
0.484,0.0252
0.486,0.0251
0.488,0.0252
0.49,0.0253
0.492,0.0253
0.494,0.0254
0.496,0.0254
0.498,0.0255
0.5,0.0254
0.502,0.0253
0.504,0.0253
0.506,0.0252
0.508,0.0252
0.51,0.0254
0.512,0.0255
0.514,0.0255
0.516,0.0255
0.518,0.0258
0.5200,2.54E-02
0.5210,2.57E-02
0.5220,2.54E-02
0.5230,2.54E-02
0.5240,2.55E-02
0.5250,2.55E-02
0.5260,2.55E-02
0.5270,2.55E-02
0.5280,2.57E-02
0.5290,2.58E-02
0.5300,2.58E-02
0.5310,2.59E-02
0.5320,2.59E-02
0.5330,2.59E-02
0.5340,2.61E-02
0.5350,2.62E-02
0.5360,2.64E-02
0.5370,2.65E-02
0.5380,2.66E-02
0.5390,2.69E-02
0.5400,2.70E-02
0.5410,2.71E-02
0.5420,2.74E-02
0.5430,2.76E-02
0.5440,2.78E-02
0.5450,2.80E-02
0.5460,2.82E-02
0.5470,2.84E-02
0.5480,2.87E-02
0.5490,2.89E-02
0.5500,2.92E-02
0.5510,2.96E-02
0.5520,3.01E-02
0.5530,3.04E-02
0.5540,3.08E-02
0.5550,3.15E-02
0.5560,3.20E-02
0.5570,3.25E-02
0.5580,3.32E-02
0.5590,3.40E-02
0.5600,3.48E-02
0.5610,3.56E-02
0.5620,3.64E-02
0.5630,3.74E-02
0.5640,3.85E-02
0.5650,3.94E-02
0.5660,4.04E-02
0.5670,4.16E-02
0.5680,4.30E-02
0.5690,4.44E-02
0.5700,4.58E-02
0.5710,4.73E-02
0.5720,4.91E-02
0.5730,5.10E-02
0.5740,5.29E-02
0.5750,5.46E-02
0.5760,5.66E-02
0.5770,5.89E-02
0.5780,6.12E-02
0.5790,6.34E-02
0.5800,6.57E-02
0.5810,6.81E-02
0.5820,7.07E-02
0.5830,7.33E-02
0.5840,7.59E-02
0.5850,7.84E-02
0.5860,8.10E-02
0.5870,8.38E-02
0.5880,8.66E-02
0.5890,8.94E-02
0.5900,9.22E-02
0.5910,9.50E-02
0.5920,9.77E-02
0.5930,1.00E-01
0.5940,1.03E-01
0.5950,1.05E-01
0.5960,1.07E-01
0.5970,1.09E-01
0.5980,1.11E-01
0.5990,1.13E-01
0.6000,1.15E-01
0.6010,1.17E-01
0.6020,1.19E-01
0.6030,1.20E-01
0.6040,1.22E-01
0.6050,1.23E-01
0.6060,1.25E-01
0.6070,1.26E-01
0.6080,1.28E-01
0.6090,1.29E-01
0.6100,1.30E-01
0.6110,1.32E-01
0.6120,1.33E-01
0.6130,1.34E-01
0.6140,1.35E-01
0.6150,1.36E-01
0.6160,1.37E-01
0.6170,1.38E-01
0.6180,1.39E-01
0.6190,1.40E-01
0.6200,1.41E-01
0.6210,1.42E-01
0.6220,1.43E-01
0.6230,1.43E-01
0.6240,1.44E-01
0.6250,1.45E-01
0.6260,1.45E-01
0.6270,1.46E-01
0.6280,1.47E-01
0.6290,1.47E-01
0.6300,1.48E-01
0.6310,1.49E-01
0.6320,1.49E-01
0.6330,1.50E-01
0.6340,1.50E-01
0.6350,1.51E-01
0.6360,1.52E-01
0.6370,1.52E-01
0.6380,1.53E-01
0.6390,1.53E-01
0.6400,1.54E-01
0.6410,1.55E-01
0.6420,1.55E-01
0.6430,1.56E-01
0.6440,1.57E-01
0.6450,1.57E-01
0.6460,1.58E-01
0.6470,1.58E-01
0.6480,1.59E-01
0.6490,1.59E-01
0.6500,1.60E-01
0.6510,1.61E-01
0.6520,1.62E-01
0.6530,1.62E-01
0.6540,1.63E-01
0.6550,1.64E-01
0.6560,1.64E-01
0.6570,1.65E-01
0.6580,1.66E-01
0.6590,1.67E-01
0.6600,1.68E-01
0.6610,1.68E-01
0.6620,1.69E-01
0.6630,1.70E-01
0.6640,1.70E-01
0.6650,1.71E-01
0.6660,1.72E-01
0.6670,1.73E-01
0.6680,1.74E-01
0.6690,1.75E-01
0.6700,1.76E-01
0.6710,1.77E-01
0.6720,1.78E-01
0.6730,1.79E-01
0.6740,1.80E-01
0.6750,1.80E-01
0.6760,1.81E-01
0.6770,1.82E-01
0.6780,1.83E-01
0.6790,1.85E-01
0.6800,1.86E-01
0.6810,1.87E-01
0.6820,1.88E-01
0.6830,1.89E-01
0.6840,1.90E-01
0.6850,1.91E-01
0.6860,1.92E-01
0.6870,1.93E-01
0.6880,1.95E-01
0.6890,1.96E-01
0.6900,1.97E-01
0.6910,1.98E-01
0.6920,1.99E-01
0.6930,2.00E-01
0.6940,2.02E-01
0.6950,2.03E-01
0.6960,2.04E-01
0.6970,2.06E-01
0.6980,2.07E-01
0.6990,2.08E-01
0.7000,2.09E-01
0.7010,2.10E-01
0.7020,2.12E-01
0.7030,2.13E-01
0.7040,2.14E-01
0.7050,2.15E-01
0.7060,2.17E-01
0.7070,2.18E-01
0.7080,2.19E-01
0.7090,2.20E-01
0.7100,2.21E-01
0.7110,2.22E-01
0.7120,2.24E-01
0.7130,2.25E-01
0.7140,2.26E-01
0.7150,2.27E-01
0.7160,2.28E-01
0.7170,2.29E-01
0.7180,2.30E-01
0.7190,2.31E-01
0.7200,2.32E-01
0.7210,2.33E-01
0.7220,2.34E-01
0.7230,2.35E-01
0.7240,2.36E-01
0.7250,2.37E-01
0.7260,2.38E-01
0.7270,2.39E-01
0.7280,2.39E-01
0.7290,2.40E-01
0.7300,2.41E-01
0.7310,2.42E-01
0.7320,2.43E-01
0.7330,2.43E-01
0.7340,2.44E-01
0.7350,2.45E-01
0.7360,2.45E-01
0.7370,2.46E-01
0.7380,2.46E-01
0.7390,2.47E-01
0.7400,2.47E-01
0.7410,2.48E-01
0.7420,2.48E-01
0.7430,2.48E-01
0.7440,2.48E-01
0.7450,2.48E-01
0.7460,2.49E-01
0.7470,2.49E-01
0.7480,2.49E-01
0.7490,2.49E-01
0.7500,2.49E-01
0.7510,2.50E-01
0.7520,2.49E-01
0.7530,2.49E-01
0.7540,2.49E-01
0.7550,2.49E-01
0.7560,2.49E-01
0.7570,2.49E-01
0.7580,2.49E-01
0.7590,2.48E-01
0.7600,2.48E-01
0.7610,2.48E-01
0.7620,2.47E-01
0.7630,2.47E-01
0.7640,2.47E-01
0.7650,2.47E-01
0.7660,2.46E-01
0.7670,2.46E-01
0.7680,2.46E-01
0.7690,2.45E-01
0.7700,2.44E-01
0.7710,2.44E-01
0.7720,2.43E-01
0.7730,2.43E-01
0.7740,2.42E-01
0.7750,2.42E-01
0.7760,2.41E-01
0.7770,2.41E-01
0.7780,2.40E-01
0.7790,2.39E-01
0.7800,2.39E-01
0.7810,2.38E-01
0.7820,2.38E-01
0.7830,2.37E-01
0.7840,2.37E-01
0.7850,2.36E-01
0.7860,2.35E-01
0.7870,2.34E-01
0.7880,2.34E-01
0.7890,2.33E-01
0.7900,2.33E-01
0.7910,2.32E-01
0.7920,2.31E-01
0.7930,2.31E-01
0.7940,2.30E-01
0.7950,2.29E-01
0.7960,2.29E-01
0.7970,2.28E-01
0.7980,2.27E-01
0.7990,2.27E-01
0.8000,2.26E-01
0.8010,2.25E-01
0.8020,2.25E-01
0.8030,2.24E-01
0.8040,2.23E-01
0.8050,2.23E-01
0.8060,2.22E-01
0.8070,2.22E-01
0.8080,2.21E-01
0.8090,2.21E-01
0.8100,2.20E-01
0.8110,2.20E-01
0.8120,2.19E-01
0.8130,2.19E-01
0.8140,2.18E-01
0.8150,2.18E-01
0.8160,2.17E-01
0.8170,2.16E-01
0.8180,2.16E-01
0.8190,2.15E-01
0.8200,2.15E-01
0.8210,2.15E-01
0.8220,2.14E-01
0.8230,2.14E-01
0.8240,2.13E-01
0.8250,2.13E-01
0.8260,2.12E-01
0.8270,2.12E-01
0.8280,2.11E-01
0.8290,2.11E-01
0.8300,2.11E-01
0.8310,2.10E-01
0.8320,2.10E-01
0.8330,2.10E-01
0.8340,2.09E-01
0.8350,2.09E-01
0.8360,2.09E-01
0.8370,2.09E-01
0.8380,2.08E-01
0.8390,2.08E-01
0.8400,2.08E-01
0.8410,2.08E-01
0.8420,2.08E-01
