#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
238     0.260017978       0.259985484          6.49963709e-05     2.0373e+06      1.1267e+06      3.91403e-06             
239     0.260082982       0.26005048           6.501262e-05       2.0424e+06      1.12891e+06     3.9119e-06              
240     0.260148003       0.260115493          6.50288732e-05     2.0475e+06      1.13111e+06     3.90978e-06             
241     0.26021304        0.260180522          6.50451304e-05     2.0526e+06      1.13331e+06     3.90765e-06             
242     0.260278093       0.260245567          6.50613917e-05     2.0577e+06      1.13551e+06     3.90552e-06             
243     0.260343163       0.260310628          6.5077657e-05      2.0628e+06      1.13771e+06     3.9034e-06              
244     0.260408249       0.260375706          6.50939264e-05     2.06791e+06     1.1399e+06      3.90127e-06             
245     0.260473351       0.2604408            6.51101999e-05     2.07301e+06     1.1421e+06      3.89915e-06             
246     0.260538469       0.26050591           6.51264775e-05     2.07812e+06     1.14429e+06     3.89702e-06             
247     0.260603604       0.260571036          6.51427591e-05     2.08323e+06     1.14647e+06     3.89489e-06             
248     0.260668755       0.260636179          6.51590448e-05     2.08834e+06     1.14866e+06     3.89277e-06             
249     0.260733922       0.260701338          6.51753345e-05     2.09345e+06     1.15084e+06     3.89064e-06             
250     0.260799105       0.260766514          6.51916284e-05     2.10232e+06     1.15509e+06     3.88852e-06             
251     0.260864305       0.260831705          6.52079263e-05     2.18378e+06     1.19919e+06     3.88639e-06             
252     0.260929521       0.260896913          6.52242283e-05     2.29313e+06     1.25854e+06     3.88427e-06             
253     0.260994754       0.260962137          6.52405343e-05     2.4025e+06      1.31785e+06     3.88214e-06             
254     0.261060002       0.261027378          6.52568445e-05     2.51189e+06     1.3771e+06      3.88002e-06             
255     0.261125267       0.261092635          6.52731587e-05     2.62132e+06     1.4363e+06      3.87789e-06             
256     0.261190549       0.261157908          6.5289477e-05      2.73077e+06     1.49546e+06     3.87577e-06             
257     0.261255846       0.261223197          6.53057993e-05     2.84025e+06     1.55456e+06     3.87364e-06             
258     0.26132116        0.261288503          6.53221258e-05     2.94975e+06     1.61361e+06     3.87152e-06             
