#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
110     0.25183013        0.251798659          6.29496648e-05     852012          89279.2         7.59143e-07             
111     0.251893088       0.251861609          6.29654022e-05     879004          92107.5         7.59143e-07             
112     0.251956061       0.251924574          6.29811436e-05     906002          94936.6         7.59143e-07             
113     0.25201905        0.251987555          6.29968889e-05     933007          97766.4         7.59143e-07             
114     0.252082055       0.252050552          6.30126381e-05     960019          100597          7.59143e-07             
115     0.252145075       0.252113565          6.30283913e-05     987038          103428          7.59143e-07             
116     0.252208112       0.252176593          6.30441484e-05     1.01406e+06     106260          7.59143e-07             
117     0.252271164       0.252239638          6.30599094e-05     1.0411e+06      109093          7.59143e-07             
118     0.252334231       0.252302697          6.30756744e-05     1.06814e+06     111926          7.59143e-07             
119     0.252397315       0.252365773          6.30914433e-05     1.09518e+06     114760          7.59143e-07             
120     0.252460414       0.252428865          6.31072161e-05     1.12223e+06     117595          7.59143e-07             
121     0.252523529       0.252491972          6.31229929e-05     1.14929e+06     120430          7.59143e-07             
122     0.25258666        0.252555095          6.31387737e-05     1.17639e+06     123270          7.59143e-07             
123     0.252649807       0.252618234          6.31545584e-05     1.24491e+06     130449          7.59143e-07             
124     0.252712969       0.252681388          6.3170347e-05      1.35035e+06     141498          7.59143e-07             
125     0.252776148       0.252744558          6.31861396e-05     1.45581e+06     152549          7.59143e-07             
126     0.252839342       0.252807745          6.32019362e-05     1.5613e+06      163603          7.59143e-07             
127     0.252902551       0.252870947          6.32177366e-05     1.66682e+06     174660          7.59143e-07             
128     0.252965777       0.252934164          6.32335411e-05     1.77236e+06     185719          7.59143e-07             
129     0.253029019       0.252997398          6.32493495e-05     1.87793e+06     196782          7.59143e-07             
130     0.253092276       0.253060647          6.32651618e-05     1.98353e+06     207847          7.59143e-07             
131     0.253155549       0.253123912          6.32809781e-05     2.08915e+06     218914          7.59143e-07             
132     0.253218838       0.253187193          6.32967983e-05     2.1948e+06      229985          7.59143e-07             
133     0.253282142       0.25325049           6.33126225e-05     2.30048e+06     241058          7.59143e-07             
134     0.253345463       0.253313803          6.33284507e-05     2.40618e+06     252135          7.59143e-07             
135     0.253408799       0.253377131          6.33442828e-05     2.51191e+06     263213          7.59143e-07             
136     0.253472152       0.253440475          6.33601189e-05     2.61766e+06     274295          7.59143e-07             
137     0.25353552        0.253503836          6.33759589e-05     2.72344e+06     285380          7.59143e-07             
138     0.253598903       0.253567212          6.33918029e-05     2.82914e+06     296456          7.59143e-07             
139     0.253662303       0.253630603          6.34076508e-05     2.90107e+06     303993          7.59143e-07             
140     0.253725719       0.253694011          6.34235028e-05     2.94612e+06     308713          7.59143e-07             
141     0.25378915        0.253757435          6.34393586e-05     2.99117e+06     313434          7.59143e-07             
