#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
187     0.256724203       0.25669212           6.41730301e-05     1.08191e+06     1.00555e+06     5.01747e-06             
188     0.256788384       0.256756293          6.41890733e-05     1.09451e+06     1.01717e+06     5.01703e-06             
189     0.256852581       0.256820482          6.42051206e-05     1.10711e+06     1.0288e+06      5.0166e-06              
190     0.256916794       0.256884688          6.42211719e-05     1.11972e+06     1.04042e+06     5.01616e-06             
191     0.256981023       0.256948909          6.42372272e-05     1.13233e+06     1.05204e+06     5.01573e-06             
192     0.257045269       0.257013146          6.42532865e-05     1.14494e+06     1.06367e+06     5.01529e-06             
193     0.25710953        0.257077399          6.42693498e-05     1.15756e+06     1.07529e+06     5.01486e-06             
194     0.257173807       0.257141669          6.42854171e-05     1.17017e+06     1.08692e+06     5.01442e-06             
195     0.257238101       0.257205954          6.43014885e-05     1.1828e+06      1.09855e+06     5.01398e-06             
196     0.25730241        0.257270255          6.43175639e-05     1.19542e+06     1.11018e+06     5.01354e-06             
197     0.257366736       0.257334573          6.43336433e-05     1.20805e+06     1.12181e+06     5.01311e-06             
198     0.257431077       0.257398907          6.43497267e-05     1.22068e+06     1.13344e+06     5.01267e-06             
199     0.257495435       0.257463256          6.43658141e-05     1.23331e+06     1.14507e+06     5.01223e-06             
200     0.257559809       0.257527622          6.43819055e-05     1.24595e+06     1.1567e+06      5.01179e-06             
201     0.257624199       0.257592004          6.4398001e-05      1.25859e+06     1.16833e+06     5.01135e-06             
202     0.257688605       0.257656402          6.44141005e-05     1.27078e+06     1.17954e+06     5.01091e-06             
203     0.257753027       0.257720816          6.44302041e-05     1.26455e+06     1.17366e+06     5.01047e-06             
204     0.257817466       0.257785246          6.44463116e-05     1.24872e+06     1.15887e+06     5.01003e-06             
205     0.25788192        0.257849693          6.44624232e-05     1.23289e+06     1.14408e+06     5.00959e-06             
206     0.25794639        0.257914155          6.44785388e-05     1.21706e+06     1.12928e+06     5.00915e-06             
207     0.258010877       0.257978634          6.44946584e-05     1.20122e+06     1.11449e+06     5.00871e-06             
208     0.25807538        0.258043128          6.45107821e-05     1.18538e+06     1.0997e+06      5.00826e-06             
209     0.258139899       0.258107639          6.45269098e-05     1.16954e+06     1.0849e+06      5.00782e-06             
210     0.258204434       0.258172166          6.45430415e-05     1.15369e+06     1.07011e+06     5.00738e-06             
211     0.258268985       0.258236709          6.45591773e-05     1.13784e+06     1.05531e+06     5.00693e-06             
212     0.258333552       0.258301268          6.45753171e-05     1.12198e+06     1.04051e+06     5.00649e-06             
213     0.258398135       0.258365844          6.45914609e-05     1.10612e+06     1.02571e+06     5.00605e-06             
214     0.258462735       0.258430435          6.46076088e-05     1.09025e+06     1.01091e+06     5.0056e-06              
215     0.25852735        0.258495043          6.46237607e-05     1.07439e+06     996105          5.00516e-06             
216     0.258591982       0.258559666          6.46399166e-05     1.05851e+06     981301          5.00471e-06             
217     0.25865663        0.258624306          6.46560766e-05     1.04264e+06     966496          5.00427e-06             
218     0.258721294       0.258688962          6.46722406e-05     1.02781e+06     952666          5.00382e-06             
219     0.258785975       0.258753635          6.46884087e-05     1.04505e+06     968566          5.00337e-06             
220     0.258850671       0.258818323          6.47045808e-05     1.0774e+06      998451          5.00293e-06             
221     0.258915384       0.258883028          6.47207569e-05     1.10974e+06     1.02834e+06     5.00248e-06             
222     0.258980113       0.258947748          6.47369371e-05     1.1421e+06      1.05823e+06     5.00203e-06             
223     0.259044858       0.259012485          6.47531213e-05     1.17447e+06     1.08812e+06     5.00159e-06             
224     0.259109619       0.259077238          6.47693096e-05     1.20684e+06     1.11801e+06     5.00114e-06             
225     0.259174396       0.259142008          6.47855019e-05     1.23922e+06     1.1479e+06      5.00069e-06             
226     0.25923919        0.259206793          6.48016983e-05     1.27161e+06     1.1778e+06      5.00024e-06             
227     0.259304          0.259271595          6.48178987e-05     1.30401e+06     1.2077e+06      4.99979e-06             
228     0.259368826       0.259336413          6.48341032e-05     1.33641e+06     1.2376e+06      4.99934e-06             
229     0.259433668       0.259401247          6.48503117e-05     1.36883e+06     1.2675e+06      4.99889e-06             
230     0.259498526       0.259466097          6.48665243e-05     1.40125e+06     1.29741e+06     4.99844e-06             
231     0.259563401       0.259530964          6.48827409e-05     1.43368e+06     1.32732e+06     4.99799e-06             
232     0.259628292       0.259595847          6.48989616e-05     1.46612e+06     1.35723e+06     4.99754e-06             
233     0.259693199       0.259660745          6.49151864e-05     1.49856e+06     1.38714e+06     4.99708e-06             
234     0.259758122       0.259725661          6.49314152e-05     1.5302e+06      1.41629e+06     4.99663e-06             
235     0.259823062       0.259790592          6.4947648e-05      1.54237e+06     1.42742e+06     4.99618e-06             
236     0.259888018       0.25985554           6.49638849e-05     1.54625e+06     1.43089e+06     4.99573e-06             
237     0.25995299        0.259920504          6.49801259e-05     1.55014e+06     1.43436e+06     4.99527e-06             
238     0.260017978       0.259985484          6.49963709e-05     1.55403e+06     1.43782e+06     4.99482e-06             
239     0.260082982       0.26005048           6.501262e-05       1.55792e+06     1.44129e+06     4.99436e-06             
240     0.260148003       0.260115493          6.50288732e-05     1.56181e+06     1.44476e+06     4.99391e-06             
241     0.26021304        0.260180522          6.50451304e-05     1.5657e+06      1.44822e+06     4.99346e-06             
242     0.260278093       0.260245567          6.50613917e-05     1.56959e+06     1.45169e+06     4.993e-06               
243     0.260343163       0.260310628          6.5077657e-05      1.57348e+06     1.45516e+06     4.99254e-06             
244     0.260408249       0.260375706          6.50939264e-05     1.57737e+06     1.45863e+06     4.99209e-06             
245     0.260473351       0.2604408            6.51101999e-05     1.58127e+06     1.46209e+06     4.99163e-06             
246     0.260538469       0.26050591           6.51264775e-05     1.58516e+06     1.46556e+06     4.99117e-06             
247     0.260603604       0.260571036          6.51427591e-05     1.58906e+06     1.46903e+06     4.99072e-06             
248     0.260668755       0.260636179          6.51590448e-05     1.59296e+06     1.4725e+06      4.99026e-06             
249     0.260733922       0.260701338          6.51753345e-05     1.59686e+06     1.47597e+06     4.9898e-06              
250     0.260799105       0.260766514          6.51916284e-05     1.60363e+06     1.48209e+06     4.98934e-06             
251     0.260864305       0.260831705          6.52079263e-05     1.66576e+06     1.53937e+06     4.98888e-06             
252     0.260929521       0.260896913          6.52242283e-05     1.74917e+06     1.6163e+06      4.98842e-06             
253     0.260994754       0.260962137          6.52405343e-05     1.8326e+06      1.69323e+06     4.98796e-06             
254     0.261060002       0.261027378          6.52568445e-05     1.91604e+06     1.77017e+06     4.9875e-06              
255     0.261125267       0.261092635          6.52731587e-05     1.99951e+06     1.84711e+06     4.98704e-06             
