#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
119     0.252397315       0.252365773          6.30914433e-05     1.00876e+06     128258          8.48431e-07             
120     0.252460414       0.252428865          6.31072161e-05     1.03368e+06     131284          8.47513e-07             
121     0.252523529       0.252491972          6.31229929e-05     1.0586e+06      134304          8.46596e-07             
122     0.25258666        0.252555095          6.31387737e-05     1.08356e+06     137322          8.4568e-07              
123     0.252649807       0.252618234          6.31545584e-05     1.14667e+06     145162          8.44766e-07             
124     0.252712969       0.252681388          6.3170347e-05      1.24379e+06     157287          8.43852e-07             
125     0.252776148       0.252744558          6.31861396e-05     1.34093e+06     169388          8.42939e-07             
126     0.252839342       0.252807745          6.32019362e-05     1.4381e+06      181465          8.42028e-07             
127     0.252902551       0.252870947          6.32177366e-05     1.53529e+06     193520          8.41117e-07             
128     0.252965777       0.252934164          6.32335411e-05     1.6325e+06      205551          8.40207e-07             
129     0.253029019       0.252997398          6.32493495e-05     1.72974e+06     217559          8.39299e-07             
130     0.253092276       0.253060647          6.32651618e-05     1.82701e+06     229544          8.38391e-07             
131     0.253155549       0.253123912          6.32809781e-05     1.92429e+06     241506          8.37484e-07             
132     0.253218838       0.253187193          6.32967983e-05     2.02161e+06     253444          8.36579e-07             
133     0.253282142       0.25325049           6.33126225e-05     2.11894e+06     265360          8.35674e-07             
134     0.253345463       0.253313803          6.33284507e-05     2.2163e+06      277253          8.34771e-07             
135     0.253408799       0.253377131          6.33442828e-05     2.31369e+06     289122          8.33868e-07             
136     0.253472152       0.253440475          6.33601189e-05     2.4111e+06      300969          8.32967e-07             
137     0.25353552        0.253503836          6.33759589e-05     2.50853e+06     312793          8.32066e-07             
138     0.253598903       0.253567212          6.33918029e-05     2.60589e+06     324582          8.31166e-07             
139     0.253662303       0.253630603          6.34076508e-05     2.67215e+06     332474          8.30268e-07             
140     0.253725719       0.253694011          6.34235028e-05     2.71363e+06     337271          8.2937e-07              
141     0.25378915        0.253757435          6.34393586e-05     2.75513e+06     342059          8.28474e-07             
142     0.253852598       0.253820874          6.34552185e-05     2.79664e+06     346837          8.27578e-07             
143     0.253916061       0.253884329          6.34710823e-05     2.83816e+06     351606          8.26684e-07             
144     0.25397954        0.2539478            6.348695e-05       2.87969e+06     356365          8.2579e-07              
145     0.254043035       0.254011287          6.35028218e-05     2.92123e+06     361115          8.24898e-07             
146     0.254106545       0.25407479           6.35186975e-05     2.96278e+06     365856          8.24006e-07             
147     0.254170072       0.254138309          6.35345772e-05     3.00434e+06     370587          8.23116e-07             
148     0.254233614       0.254201843          6.35504608e-05     3.04592e+06     375309          8.22226e-07             
149     0.254297173       0.254265394          6.35663484e-05     3.0875e+06      380021          8.21337e-07             
150     0.254360747       0.25432896           6.358224e-05       3.12909e+06     384724          8.2045e-07              
151     0.254424337       0.254392542          6.35981356e-05     3.17069e+06     389418          8.19563e-07             
152     0.254487943       0.25445614           6.36140351e-05     3.21231e+06     394102          8.18678e-07             
153     0.254551565       0.254519754          6.36299386e-05     3.25393e+06     398778          8.17793e-07             
154     0.254615203       0.254583384          6.36458461e-05     3.295e+06       403374          8.16909e-07             
155     0.254678857       0.25464703           6.36617576e-05     3.25365e+06     397882          8.16027e-07             
156     0.254742527       0.254710692          6.3677673e-05      3.15347e+06     385215          8.15145e-07             
157     0.254806212       0.25477437           6.36935924e-05     3.05326e+06     372571          8.14264e-07             
158     0.254869914       0.254838063          6.37095158e-05     2.95303e+06     359951          8.13385e-07             
159     0.254933631       0.254901773          6.37254432e-05     2.85278e+06     347356          8.12506e-07             
160     0.254997365       0.254965498          6.37413745e-05     2.7525e+06      334783          8.11628e-07             
161     0.255061114       0.25502924           6.37573099e-05     2.6522e+06      322235          8.10751e-07             
162     0.25512488        0.255092997          6.37732492e-05     2.55187e+06     309710          8.09876e-07             
163     0.255188661       0.25515677           6.37891925e-05     2.45151e+06     297209          8.09001e-07             
164     0.255252458       0.255220559          6.38051398e-05     2.35113e+06     284732          8.08127e-07             
165     0.255316271       0.255284364          6.38210911e-05     2.25073e+06     272278          8.07254e-07             
166     0.2553801         0.255348186          6.38370464e-05     2.1503e+06      259848          8.06382e-07             
167     0.255443945       0.255412023          6.38530056e-05     2.04984e+06     247441          8.05511e-07             
168     0.255507806       0.255475876          6.38689689e-05     1.94936e+06     235058          8.04641e-07             
169     0.255571683       0.255539745          6.38849361e-05     1.84886e+06     222698          8.03772e-07             
170     0.255635576       0.25560363           6.39009074e-05     1.74887e+06     210427          8.02904e-07             
171     0.255699485       0.25566753           6.39168826e-05     1.69523e+06     203752          8.02037e-07             
172     0.25576341        0.255731447          6.39328618e-05     1.6713e+06      200659          8.01171e-07             
173     0.255827351       0.25579538           6.3948845e-05      1.64736e+06     197571          8.00306e-07             
174     0.255891307       0.255859329          6.39648323e-05     1.62342e+06     194490          7.99442e-07             
175     0.25595528        0.255923294          6.39808235e-05     1.59947e+06     191414          7.98578e-07             
176     0.256019269       0.255987275          6.39968187e-05     1.57552e+06     188344          7.97716e-07             
177     0.256083274       0.256051271          6.40128179e-05     1.55156e+06     185279          7.96855e-07             
178     0.256147295       0.256115284          6.40288211e-05     1.52759e+06     182221          7.95995e-07             
179     0.256211332       0.256179313          6.40448283e-05     1.50362e+06     179167          7.95135e-07             
180     0.256275384       0.256243358          6.40608395e-05     1.47964e+06     176120          7.94277e-07             
181     0.256339453       0.256307419          6.40768547e-05     1.45566e+06     173078          7.93419e-07             
182     0.256403538       0.256371496          6.40928739e-05     1.43167e+06     170042          7.92563e-07             
183     0.256467639       0.256435589          6.41088971e-05     1.40768e+06     167012          7.91707e-07             
184     0.256531756       0.256499697          6.41249244e-05     1.38368e+06     163987          7.90853e-07             
185     0.256595889       0.256563822          6.41409556e-05     1.35967e+06     160968          7.89999e-07             
186     0.256660038       0.256627963          6.41569908e-05     1.3361e+06      158006          7.89146e-07             
187     0.256724203       0.25669212           6.41730301e-05     1.33733e+06     157982          7.88295e-07             
188     0.256788384       0.256756293          6.41890733e-05     1.35291e+06     159649          7.87444e-07             
189     0.256852581       0.256820482          6.42051206e-05     1.36849e+06     161313          7.86594e-07             
190     0.256916794       0.256884688          6.42211719e-05     1.38407e+06     162974          7.85745e-07             
191     0.256981023       0.256948909          6.42372272e-05     1.39965e+06     164631          7.84897e-07             
192     0.257045269       0.257013146          6.42532865e-05     1.41524e+06     166285          7.8405e-07              
193     0.25710953        0.257077399          6.42693498e-05     1.43084e+06     167936          7.83204e-07             
194     0.257173807       0.257141669          6.42854171e-05     1.44643e+06     169583          7.82359e-07             
195     0.257238101       0.257205954          6.43014885e-05     1.46203e+06     171228          7.81514e-07             
196     0.25730241        0.257270255          6.43175639e-05     1.47764e+06     172868          7.80671e-07             
197     0.257366736       0.257334573          6.43336433e-05     1.49325e+06     174506          7.79829e-07             
198     0.257431077       0.257398907          6.43497267e-05     1.50886e+06     176140          7.78987e-07             
199     0.257495435       0.257463256          6.43658141e-05     1.52448e+06     177771          7.78147e-07             
200     0.257559809       0.257527622          6.43819055e-05     1.5401e+06      179399          7.77307e-07             
201     0.257624199       0.257592004          6.4398001e-05      1.55572e+06     181024          7.76469e-07             
202     0.257688605       0.257656402          6.44141005e-05     1.57079e+06     182579          7.75631e-07             
203     0.257753027       0.257720816          6.44302041e-05     1.56309e+06     181489          7.74794e-07             
204     0.257817466       0.257785246          6.44463116e-05     1.54353e+06     179024          7.73959e-07             
205     0.25788192        0.257849693          6.44624232e-05     1.52396e+06     176564          7.73124e-07             
206     0.25794639        0.257914155          6.44785388e-05     1.50439e+06     174108          7.7229e-07              
207     0.258010877       0.257978634          6.44946584e-05     1.48481e+06     171658          7.71457e-07             
208     0.25807538        0.258043128          6.45107821e-05     1.46523e+06     169211          7.70625e-07             
209     0.258139899       0.258107639          6.45269098e-05     1.44565e+06     166769          7.69793e-07             
210     0.258204434       0.258172166          6.45430415e-05     1.42606e+06     164332          7.68963e-07             
211     0.258268985       0.258236709          6.45591773e-05     1.40646e+06     161899          7.68134e-07             
212     0.258333552       0.258301268          6.45753171e-05     1.38686e+06     159471          7.67305e-07             
213     0.258398135       0.258365844          6.45914609e-05     1.36725e+06     157047          7.66478e-07             
214     0.258462735       0.258430435          6.46076088e-05     1.34764e+06     154627          7.65651e-07             
215     0.25852735        0.258495043          6.46237607e-05     1.32803e+06     152212          7.64826e-07             
216     0.258591982       0.258559666          6.46399166e-05     1.30841e+06     149802          7.64001e-07             
217     0.25865663        0.258624306          6.46560766e-05     1.28878e+06     147396          7.63177e-07             
218     0.258721294       0.258688962          6.46722406e-05     1.27046e+06     145143          7.62354e-07             
219     0.258785975       0.258753635          6.46884087e-05     1.29177e+06     147419          7.61532e-07             
220     0.258850671       0.258818323          6.47045808e-05     1.33175e+06     151818          7.60711e-07             
221     0.258915384       0.258883028          6.47207569e-05     1.37174e+06     156207          7.59891e-07             
222     0.258980113       0.258947748          6.47369371e-05     1.41173e+06     160589          7.59072e-07             
223     0.259044858       0.259012485          6.47531213e-05     1.45174e+06     164961          7.58253e-07             
224     0.259109619       0.259077238          6.47693096e-05     1.49175e+06     169326          7.57436e-07             
225     0.259174396       0.259142008          6.47855019e-05     1.53178e+06     173682          7.56619e-07             
226     0.25923919        0.259206793          6.48016983e-05     1.57182e+06     178029          7.55804e-07             
227     0.259304          0.259271595          6.48178987e-05     1.61186e+06     182368          7.54989e-07             
228     0.259368826       0.259336413          6.48341032e-05     1.65192e+06     186698          7.54175e-07             
229     0.259433668       0.259401247          6.48503117e-05     1.69199e+06     191020          7.53362e-07             
230     0.259498526       0.259466097          6.48665243e-05     1.73206e+06     195334          7.5255e-07              
231     0.259563401       0.259530964          6.48827409e-05     1.77215e+06     199640          7.51739e-07             
232     0.259628292       0.259595847          6.48989616e-05     1.81224e+06     203936          7.50929e-07             
233     0.259693199       0.259660745          6.49151864e-05     1.85235e+06     208225          7.5012e-07              
234     0.259758122       0.259725661          6.49314152e-05     1.89146e+06     212392          7.49311e-07             
235     0.259823062       0.259790592          6.4947648e-05      1.90649e+06     213850          7.48504e-07             
236     0.259888018       0.25985554           6.49638849e-05     1.9113e+06      214157          7.47697e-07             
237     0.25995299        0.259920504          6.49801259e-05     1.9161e+06      214464          7.46892e-07             
238     0.260017978       0.259985484          6.49963709e-05     1.92091e+06     214771          7.46087e-07             
239     0.260082982       0.26005048           6.501262e-05       1.92571e+06     215076          7.45283e-07             
240     0.260148003       0.260115493          6.50288732e-05     1.93052e+06     215381          7.4448e-07              
241     0.26021304        0.260180522          6.50451304e-05     1.93533e+06     215685          7.43677e-07             
242     0.260278093       0.260245567          6.50613917e-05     1.94014e+06     215988          7.42876e-07             
243     0.260343163       0.260310628          6.5077657e-05      1.94495e+06     216290          7.42076e-07             
244     0.260408249       0.260375706          6.50939264e-05     1.94977e+06     216592          7.41276e-07             
245     0.260473351       0.2604408            6.51101999e-05     1.95458e+06     216893          7.40478e-07             
246     0.260538469       0.26050591           6.51264775e-05     1.9594e+06      217193          7.3968e-07              
247     0.260603604       0.260571036          6.51427591e-05     1.96421e+06     217492          7.38883e-07             
248     0.260668755       0.260636179          6.51590448e-05     1.96903e+06     217791          7.38087e-07             
249     0.260733922       0.260701338          6.51753345e-05     1.97385e+06     218089          7.37292e-07             
250     0.260799105       0.260766514          6.51916284e-05     1.98222e+06     218777          7.36498e-07             
251     0.260864305       0.260831705          6.52079263e-05     2.05902e+06     227010          7.35705e-07             
252     0.260929521       0.260896913          6.52242283e-05     2.16212e+06     238119          7.34912e-07             
253     0.260994754       0.260962137          6.52405343e-05     2.26524e+06     249208          7.34121e-07             
254     0.261060002       0.261027378          6.52568445e-05     2.36839e+06     260275          7.3333e-07              
255     0.261125267       0.261092635          6.52731587e-05     2.47156e+06     271320          7.3254e-07              
256     0.261190549       0.261157908          6.5289477e-05      2.57476e+06     282345          7.31751e-07             
257     0.261255846       0.261223197          6.53057993e-05     2.67798e+06     293348          7.30963e-07             
258     0.26132116        0.261288503          6.53221258e-05     2.78123e+06     304330          7.30176e-07             
259     0.26138649        0.261353825          6.53384563e-05     2.88451e+06     315291          7.2939e-07              
260     0.261451837       0.261419164          6.53547909e-05     2.98781e+06     326230          7.28605e-07             
261     0.2615172         0.261484519          6.53711296e-05     3.09114e+06     337149          7.2782e-07              
262     0.261582579       0.26154989           6.53874724e-05     3.19449e+06     348047          7.27036e-07             
263     0.261647975       0.261615277          6.54038193e-05     3.29787e+06     358923          7.26254e-07             
264     0.261713387       0.261680681          6.54201702e-05     3.40128e+06     369779          7.25472e-07             
265     0.261778815       0.261746101          6.54365253e-05     3.50471e+06     380613          7.2469e-07              
266     0.26184426        0.261811538          6.54528844e-05     3.61309e+06     391961          7.2391e-07              
267     0.261909721       0.261876991          6.54692476e-05     3.79987e+06     411780          7.23131e-07             
268     0.261975198       0.26194246           6.54856149e-05     4.01386e+06     434501          7.22352e-07             
269     0.262040692       0.262007945          6.55019863e-05     4.2279e+06      457178          7.21575e-07             
270     0.262106202       0.262073447          6.55183618e-05     4.442e+06       479812          7.20798e-07             
271     0.262171729       0.262138966          6.55347414e-05     4.65615e+06     502403          7.20022e-07             
272     0.262237272       0.2622045            6.55511251e-05     4.87035e+06     524950          7.19247e-07             
273     0.262302831       0.262270052          6.55675129e-05     5.08461e+06     547454          7.18473e-07             
