#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
115     0.252145075       0.252113565          6.30283913e-05     987038          141162          1.0361e-06              
116     0.252208112       0.252176593          6.30441484e-05     1.01406e+06     145027          1.0361e-06              
117     0.252271164       0.252239638          6.30599094e-05     1.0411e+06      148893          1.0361e-06              
118     0.252334231       0.252302697          6.30756744e-05     1.06814e+06     152760          1.0361e-06              
119     0.252397315       0.252365773          6.30914433e-05     1.09518e+06     156628          1.0361e-06              
120     0.252460414       0.252428865          6.31072161e-05     1.12223e+06     160497          1.0361e-06              
121     0.252523529       0.252491972          6.31229929e-05     1.14929e+06     164367          1.0361e-06              
122     0.25258666        0.252555095          6.31387737e-05     1.17639e+06     168243          1.0361e-06              
123     0.252649807       0.252618234          6.31545584e-05     1.24491e+06     178041          1.0361e-06              
124     0.252712969       0.252681388          6.3170347e-05      1.35035e+06     193121          1.0361e-06              
125     0.252776148       0.252744558          6.31861396e-05     1.45581e+06     208204          1.0361e-06              
126     0.252839342       0.252807745          6.32019362e-05     1.5613e+06      223291          1.0361e-06              
127     0.252902551       0.252870947          6.32177366e-05     1.66682e+06     238381          1.0361e-06              
128     0.252965777       0.252934164          6.32335411e-05     1.77236e+06     253476          1.0361e-06              
129     0.253029019       0.252997398          6.32493495e-05     1.87793e+06     268574          1.0361e-06              
130     0.253092276       0.253060647          6.32651618e-05     1.98353e+06     283676          1.0361e-06              
131     0.253155549       0.253123912          6.32809781e-05     2.08915e+06     298782          1.0361e-06              
132     0.253218838       0.253187193          6.32967983e-05     2.1948e+06      313891          1.0361e-06              
133     0.253282142       0.25325049           6.33126225e-05     2.30048e+06     329004          1.0361e-06              
134     0.253345463       0.253313803          6.33284507e-05     2.40618e+06     344121          1.0361e-06              
135     0.253408799       0.253377131          6.33442828e-05     2.51191e+06     359242          1.0361e-06              
136     0.253472152       0.253440475          6.33601189e-05     2.61766e+06     374367          1.0361e-06              
137     0.25353552        0.253503836          6.33759589e-05     2.72344e+06     389495          1.0361e-06              
138     0.253598903       0.253567212          6.33918029e-05     2.82914e+06     404612          1.0361e-06              
139     0.253662303       0.253630603          6.34076508e-05     2.90107e+06     414899          1.0361e-06              
140     0.253725719       0.253694011          6.34235028e-05     2.94612e+06     421341          1.0361e-06              
141     0.25378915        0.253757435          6.34393586e-05     2.99117e+06     427784          1.0361e-06              
142     0.253852598       0.253820874          6.34552185e-05     3.03624e+06     434229          1.0361e-06              
143     0.253916061       0.253884329          6.34710823e-05     3.08131e+06     440676          1.0361e-06              
144     0.25397954        0.2539478            6.348695e-05       3.1264e+06      447124          1.0361e-06              
145     0.254043035       0.254011287          6.35028218e-05     3.1715e+06      453574          1.0361e-06              
146     0.254106545       0.25407479           6.35186975e-05     3.21661e+06     460026          1.0361e-06              
147     0.254170072       0.254138309          6.35345772e-05     3.26173e+06     466479          1.0361e-06              
148     0.254233614       0.254201843          6.35504608e-05     3.30687e+06     472934          1.0361e-06              
149     0.254297173       0.254265394          6.35663484e-05     3.35201e+06     479390          1.0361e-06              
150     0.254360747       0.25432896           6.358224e-05       3.39716e+06     485848          1.0361e-06              
151     0.254424337       0.254392542          6.35981356e-05     3.44233e+06     492307          1.0361e-06              
152     0.254487943       0.25445614           6.36140351e-05     3.48751e+06     498769          1.0361e-06              
153     0.254551565       0.254519754          6.36299386e-05     3.5327e+06      505231          1.0361e-06              
154     0.254615203       0.254583384          6.36458461e-05     3.57729e+06     511608          1.0361e-06              
155     0.254678857       0.25464703           6.36617576e-05     3.53239e+06     505188          1.0361e-06              
156     0.254742527       0.254710692          6.3677673e-05      3.42363e+06     489633          1.0361e-06              
157     0.254806212       0.25477437           6.36935924e-05     3.31484e+06     474075          1.0361e-06              
