#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
124     0.252712969       0.252681388          6.3170347e-05      684522          434471          2.33096e-06             
125     0.252776148       0.252744558          6.31861396e-05     737985          468208          2.32999e-06             
126     0.252839342       0.252807745          6.32019362e-05     791461          501923          2.329e-06               
127     0.252902551       0.252870947          6.32177366e-05     844950          535617          2.32801e-06             
128     0.252965777       0.252934164          6.32335411e-05     898452          569287          2.32701e-06             
129     0.253029019       0.252997398          6.32493495e-05     951968          602942          2.32603e-06             
130     0.253092276       0.253060647          6.32651618e-05     1.0055e+06      636555          2.32497e-06             
131     0.253155549       0.253123912          6.32809781e-05     1.05904e+06     670159          2.32395e-06             
132     0.253218838       0.253187193          6.32967983e-05     1.1126e+06      703770          2.32303e-06             
133     0.253282142       0.25325049           6.33126225e-05     1.16617e+06     737247          2.32175e-06             
134     0.253345463       0.253313803          6.33284507e-05     1.21975e+06     770892          2.32105e-06             
135     0.253408799       0.253377131          6.33442828e-05     1.27334e+06     804419          2.32005e-06             
136     0.253472152       0.253440475          6.33601189e-05     1.32695e+06     837877          2.31892e-06             
137     0.25353552        0.253503836          6.33759589e-05     1.38058e+06     871405          2.31804e-06             
138     0.253598903       0.253567212          6.33918029e-05     1.43416e+06     904838          2.31705e-06             
139     0.253662303       0.253630603          6.34076508e-05     1.47062e+06     927453          2.31607e-06             
140     0.253725719       0.253694011          6.34235028e-05     1.49346e+06     941458          2.3151e-06              
141     0.25378915        0.253757435          6.34393586e-05     1.51629e+06     955447          2.31411e-06             
142     0.253852598       0.253820874          6.34552185e-05     1.53914e+06     969414          2.31309e-06             
143     0.253916061       0.253884329          6.34710823e-05     1.56199e+06     983395          2.31213e-06             
144     0.25397954        0.2539478            6.348695e-05       1.58485e+06     997342          2.3111e-06              
145     0.254043035       0.254011287          6.35028218e-05     1.60771e+06     1.01131e+06     2.31014e-06             
146     0.254106545       0.25407479           6.35186975e-05     1.63058e+06     1.02525e+06     2.30914e-06             
147     0.254170072       0.254138309          6.35345772e-05     1.65345e+06     1.03917e+06     2.30811e-06             
148     0.254233614       0.254201843          6.35504608e-05     1.67633e+06     1.05312e+06     2.30718e-06             
149     0.254297173       0.254265394          6.35663484e-05     1.69921e+06     1.06705e+06     2.30621e-06             
150     0.254360747       0.25432896           6.358224e-05       1.7221e+06      1.08089e+06     2.30506e-06             
151     0.254424337       0.254392542          6.35981356e-05     1.745e+06       1.09485e+06     2.3042e-06              
152     0.254487943       0.25445614           6.36140351e-05     1.7679e+06      1.10872e+06     2.30318e-06             
153     0.254551565       0.254519754          6.36299386e-05     1.79081e+06     1.12263e+06     2.30223e-06             
154     0.254615203       0.254583384          6.36458461e-05     1.81341e+06     1.13629e+06     2.30121e-06             
155     0.254678857       0.25464703           6.36617576e-05     1.79065e+06     1.12157e+06     2.30025e-06             
156     0.254742527       0.254710692          6.3677673e-05      1.73552e+06     1.08656e+06     2.29925e-06             
157     0.254806212       0.25477437           6.36935924e-05     1.68037e+06     1.05158e+06     2.29825e-06             
158     0.254869914       0.254838063          6.37095158e-05     1.62521e+06     1.01659e+06     2.29721e-06             
159     0.254933631       0.254901773          6.37254432e-05     1.57004e+06     981709          2.29633e-06             
160     0.254997365       0.254965498          6.37413745e-05     1.51485e+06     946776          2.29531e-06             
