# Interpolated spectrum of GJ367 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
3.407924e+02	9.124857e-01
3.421556e+02	8.773537e-01
3.435242e+02	6.440142e-01
3.448983e+02	7.591054e-01
3.462779e+02	8.689757e-01
3.476630e+02	7.722894e-01
3.490537e+02	8.511008e-01
3.504499e+02	1.342390e+00
3.518517e+02	1.216684e+00
3.532591e+02	1.457871e+00
3.546722e+02	1.779020e+00
3.560908e+02	1.093719e+00
3.575152e+02	8.003235e-01
3.589453e+02	1.250689e+00
3.603810e+02	1.596205e+00
3.618226e+02	1.391826e+00
3.632699e+02	1.471288e+00
3.647229e+02	1.335412e+00
3.661818e+02	2.387622e+00
3.676466e+02	1.829274e+00
3.691171e+02	2.058406e+00
3.705936e+02	1.364361e+00
3.720760e+02	7.301435e-01
3.735643e+02	6.937204e-01
3.750586e+02	7.905725e-01
3.765588e+02	1.586921e+00
3.780650e+02	2.945513e+00
3.795773e+02	1.998367e+00
3.810956e+02	2.256378e+00
3.826200e+02	9.981786e-01
3.841505e+02	1.647061e+00
3.856871e+02	1.101821e+00
3.872298e+02	1.824961e+00
3.887787e+02	1.728752e+00
3.903338e+02	2.068321e+00
3.918952e+02	2.098291e+00
3.934628e+02	1.132728e+00
3.950366e+02	2.703259e+00
3.966167e+02	1.933807e+00
3.982032e+02	3.495739e+00
3.997960e+02	4.069686e+00
4.013952e+02	4.796430e+00
4.030008e+02	5.539653e+00
4.046128e+02	4.663114e+00
4.062312e+02	4.711918e+00
4.078562e+02	5.242180e+00
4.094876e+02	5.795039e+00
4.111255e+02	6.466607e+00
4.127701e+02	5.923677e+00
4.144211e+02	5.585188e+00
4.160788e+02	6.318596e+00
4.177431e+02	5.338339e+00
4.194141e+02	4.161787e+00
4.210918e+02	2.522357e+00
4.227761e+02	7.434900e-01
4.244672e+02	2.595165e+00
4.261651e+02	4.236386e+00
4.278698e+02	4.805021e+00
4.295812e+02	3.956075e+00
4.312996e+02	4.950772e+00
4.330248e+02	6.128666e+00
4.347569e+02	7.241274e+00
4.364959e+02	6.721745e+00
4.382419e+02	5.351093e+00
4.399948e+02	6.342411e+00
4.417548e+02	6.803680e+00
4.435218e+02	5.714826e+00
4.452959e+02	5.855594e+00
4.470771e+02	6.863257e+00
4.488654e+02	7.016699e+00
4.506609e+02	7.504036e+00
4.524635e+02	6.749486e+00
4.542734e+02	7.068162e+00
4.560905e+02	7.645602e+00
4.579148e+02	7.897424e+00
4.597465e+02	6.727229e+00
4.615855e+02	8.024116e+00
4.634318e+02	6.664073e+00
4.652855e+02	7.500556e+00
4.671467e+02	7.446571e+00
4.690153e+02	7.690460e+00
4.708913e+02	8.467765e+00
4.727749e+02	8.176729e+00
4.746660e+02	8.812424e+00
4.765647e+02	6.665396e+00
4.784709e+02	5.659721e+00
4.803848e+02	6.716300e+00
4.823063e+02	6.908908e+00
4.842356e+02	7.801999e+00
4.861725e+02	8.088624e+00
4.881172e+02	9.149265e+00
4.900697e+02	8.889893e+00
4.920300e+02	9.999461e+00
4.939981e+02	1.135763e+01
4.959741e+02	8.506383e+00
4.979580e+02	9.576587e+00
4.999498e+02	8.397584e+00
5.019496e+02	7.943445e+00
5.039574e+02	9.169055e+00
5.059732e+02	7.968110e+00
5.079971e+02	8.548043e+00
5.100291e+02	7.871988e+00
5.120692e+02	8.077154e+00
5.141175e+02	8.089187e+00
5.161740e+02	6.903090e+00
5.182387e+02	5.047077e+00
5.203116e+02	7.405145e+00
5.223929e+02	1.060599e+01
5.244824e+02	1.051205e+01
5.265804e+02	8.927923e+00
5.286867e+02	1.045094e+01
5.308014e+02	1.057449e+01
5.329246e+02	9.460661e+00
5.350563e+02	1.052718e+01
5.371966e+02	9.548341e+00
5.393453e+02	9.899295e+00
5.415027e+02	9.971018e+00
5.436687e+02	8.939460e+00
5.458434e+02	7.421717e+00
5.480268e+02	8.703222e+00
5.502189e+02	8.252558e+00
5.524198e+02	8.778765e+00
5.546295e+02	9.430800e+00
5.568480e+02	9.284928e+00
5.590754e+02	8.366614e+00
5.613117e+02	7.460884e+00
5.635569e+02	6.526974e+00
5.658111e+02	7.421920e+00
5.680744e+02	6.859444e+00
5.703467e+02	7.713149e+00
5.726281e+02	8.012464e+00
5.749186e+02	8.853891e+00
5.772183e+02	8.295048e+00
5.795271e+02	9.519701e+00
5.818452e+02	9.620511e+00
5.841726e+02	9.373787e+00
5.865093e+02	7.381120e+00
5.888553e+02	4.340020e+00
5.912108e+02	5.139101e+00
5.935756e+02	5.884251e+00
5.959499e+02	5.674067e+00
5.983337e+02	6.453841e+00
6.007270e+02	7.059900e+00
6.031300e+02	8.059719e+00
6.055425e+02	9.359687e+00
6.079646e+02	1.051577e+01
6.103965e+02	1.163369e+01
6.128381e+02	1.235632e+01
6.152894e+02	1.088740e+01
6.177506e+02	8.016338e+00
6.202216e+02	6.930602e+00
6.227025e+02	5.457617e+00
6.251933e+02	6.431655e+00
6.276941e+02	7.169264e+00
6.302048e+02	8.539702e+00
6.327257e+02	1.010866e+01
6.352566e+02	1.073225e+01
6.377976e+02	1.005125e+01
6.403488e+02	1.232230e+01
6.429102e+02	1.357500e+01
6.454818e+02	1.450288e+01
6.480637e+02	1.512934e+01
6.506560e+02	1.549739e+01
6.532586e+02	1.686777e+01
6.558717e+02	1.474875e+01
6.584951e+02	1.404963e+01
6.611291e+02	1.309990e+01
6.637736e+02	1.164784e+01
6.664287e+02	1.077721e+01
6.690945e+02	1.000315e+01
6.717708e+02	9.887310e+00
6.744579e+02	1.014490e+01
6.771557e+02	1.142741e+01
6.798644e+02	1.065344e+01
6.825838e+02	1.077688e+01
6.853142e+02	1.035807e+01
6.880554e+02	9.957757e+00
6.908076e+02	1.086095e+01
6.935709e+02	1.312331e+01
6.963452e+02	1.511845e+01
6.991305e+02	1.625577e+01
7.019271e+02	1.744161e+01
7.047348e+02	2.070741e+01
7.075537e+02	1.849641e+01
7.103839e+02	1.607837e+01
7.132255e+02	1.465637e+01
7.160784e+02	1.536944e+01
7.189427e+02	1.613929e+01
7.218184e+02	1.589695e+01
7.247057e+02	1.766444e+01
7.276045e+02	1.898777e+01
7.305150e+02	2.079555e+01
7.334370e+02	2.233506e+01
7.363708e+02	2.330033e+01
7.393162e+02	2.428522e+01
7.422735e+02	2.455125e+01
7.452426e+02	2.477949e+01
7.482236e+02	2.529024e+01
7.512165e+02	2.542428e+01
7.542213e+02	2.583129e+01
7.572382e+02	2.586105e+01
7.602672e+02	2.387804e+01
7.633082e+02	2.348126e+01
7.663615e+02	2.143814e+01
7.694269e+02	2.051725e+01
7.725046e+02	2.087177e+01
7.755946e+02	2.024434e+01
7.786970e+02	2.058897e+01
7.818118e+02	2.157651e+01
7.849391e+02	2.049115e+01
7.880788e+02	2.179536e+01
7.912311e+02	2.167128e+01
7.943961e+02	2.270738e+01
7.975736e+02	2.345126e+01
8.007639e+02	2.426033e+01
8.039670e+02	2.498974e+01
8.071829e+02	2.574297e+01
8.104116e+02	2.633260e+01
8.136532e+02	2.708194e+01
8.169078e+02	2.717842e+01
8.201755e+02	2.484199e+01
8.234562e+02	2.612221e+01
8.267500e+02	2.604787e+01
8.300570e+02	2.489058e+01
8.333772e+02	2.544287e+01
8.367107e+02	2.483466e+01
8.400576e+02	2.517485e+01
8.434178e+02	2.359665e+01
8.467915e+02	2.154082e+01
8.501787e+02	2.207705e+01
8.535794e+02	2.206087e+01
8.569937e+02	2.371436e+01
8.604217e+02	2.459047e+01
8.638633e+02	2.526480e+01
8.673188e+02	2.462104e+01
8.707881e+02	2.560742e+01
8.742712e+02	2.606192e+01
8.777683e+02	2.682878e+01
8.812794e+02	2.690444e+01
8.848045e+02	2.700650e+01
8.883437e+02	2.393467e+01
8.918971e+02	2.555704e+01
8.954647e+02	2.415754e+01
8.990465e+02	2.521429e+01
9.026427e+02	2.507600e+01
9.062533e+02	2.512628e+01
9.098783e+02	2.593335e+01
9.135178e+02	2.633290e+01
9.171719e+02	2.683193e+01
9.208406e+02	2.716901e+01
9.245240e+02	2.715496e+01
9.282220e+02	2.711163e+01
9.319349e+02	2.680439e+01
9.356627e+02	2.679239e+01
9.394053e+02	2.641646e+01
9.431629e+02	2.680243e+01
9.469356e+02	2.704601e+01
9.507233e+02	2.716051e+01
9.545262e+02	2.711383e+01
9.583443e+02	2.695400e+01
9.621777e+02	2.694579e+01
9.660264e+02	2.679979e+01
9.698905e+02	2.698093e+01
9.737701e+02	2.598357e+01
9.776652e+02	2.577065e+01
9.815758e+02	2.588206e+01
9.855021e+02	2.560435e+01
9.894441e+02	2.500510e+01
9.934019e+02	2.325723e+01
9.973755e+02	2.417994e+01
1.001365e+03	2.447009e+01
1.005370e+03	2.420072e+01
1.009392e+03	2.465187e+01
1.013430e+03	2.488169e+01
1.017483e+03	2.486187e+01
1.021553e+03	2.506518e+01
1.025639e+03	2.448037e+01
1.029742e+03	2.431198e+01
1.033861e+03	2.443737e+01
1.037996e+03	2.495540e+01
1.042148e+03	2.478724e+01
1.046317e+03	2.517561e+01
1.050502e+03	2.512022e+01
1.054704e+03	2.530927e+01
1.058923e+03	2.508043e+01
1.063159e+03	2.506623e+01
1.067411e+03	2.466888e+01
1.071681e+03	2.466871e+01
1.075968e+03	2.487550e+01
1.080272e+03	2.468530e+01
1.084593e+03	2.482699e+01
1.088931e+03	2.468900e+01
1.093287e+03	2.461688e+01
1.097660e+03	2.436420e+01
1.102051e+03	2.432243e+01
1.106459e+03	2.406933e+01
1.110885e+03	2.388199e+01
1.115328e+03	2.410189e+01
1.119789e+03	2.394328e+01
1.124269e+03	2.402558e+01
1.128766e+03	2.390356e+01
1.133281e+03	2.386247e+01
1.137814e+03	2.323651e+01
1.142365e+03	2.305383e+01
1.146935e+03	2.364328e+01
1.151522e+03	2.381462e+01
1.156128e+03	2.353802e+01
1.160753e+03	2.330272e+01
1.165396e+03	2.343722e+01
1.170058e+03	2.324855e+01
1.174738e+03	2.322761e+01
1.179437e+03	2.292312e+01
1.184154e+03	2.267678e+01
1.188891e+03	2.279068e+01
1.193647e+03	2.282634e+01
1.198421e+03	2.217589e+01
1.203215e+03	2.238556e+01
1.208028e+03	2.243923e+01
1.212860e+03	2.232319e+01
1.217711e+03	2.240739e+01
1.222582e+03	2.220363e+01
1.227473e+03	2.231006e+01
1.232382e+03	2.213548e+01
1.237312e+03	2.200953e+01
1.242261e+03	2.137047e+01
1.247230e+03	2.160046e+01
1.252219e+03	2.142463e+01
1.257228e+03	2.141818e+01
1.262257e+03	2.129668e+01
1.267306e+03	2.139227e+01
1.272375e+03	2.121995e+01
1.277465e+03	2.115676e+01
1.282575e+03	2.096073e+01
1.287705e+03	2.074705e+01
1.292856e+03	2.062033e+01
1.298027e+03	2.070404e+01
1.303219e+03	2.064259e+01
1.308432e+03	2.045598e+01
1.313666e+03	2.050247e+01
1.318920e+03	2.042481e+01
1.324196e+03	2.015781e+01
1.329493e+03	1.984016e+01
1.334811e+03	1.891893e+01
1.340150e+03	1.875634e+01
1.345511e+03	1.862468e+01
1.350893e+03	1.859728e+01
1.356296e+03	1.845687e+01
1.361722e+03	1.841429e+01
1.367168e+03	1.842807e+01
1.372637e+03	1.844510e+01
1.378128e+03	1.839426e+01
1.383640e+03	1.827650e+01
1.389175e+03	1.795433e+01
1.394731e+03	1.775371e+01
1.400310e+03	1.758694e+01
1.405912e+03	1.753678e+01
1.411535e+03	1.720235e+01
1.417181e+03	1.700399e+01
1.422850e+03	1.700141e+01
1.428542e+03	1.677619e+01
1.434256e+03	1.683161e+01
1.439993e+03	1.676328e+01
1.445753e+03	1.676027e+01
1.451536e+03	1.661478e+01
1.457342e+03	1.657889e+01
1.463171e+03	1.638576e+01
1.469024e+03	1.621859e+01
1.474900e+03	1.622667e+01
1.480800e+03	1.616141e+01
1.486723e+03	1.597698e+01
1.492670e+03	1.608862e+01
1.498640e+03	1.604620e+01
1.504635e+03	1.546462e+01
1.510653e+03	1.601391e+01
1.516696e+03	1.601543e+01
1.522763e+03	1.602582e+01
1.528854e+03	1.599662e+01
1.534969e+03	1.589370e+01
1.541109e+03	1.583315e+01
1.547274e+03	1.585461e+01
1.553463e+03	1.583855e+01
1.559677e+03	1.575282e+01
1.565915e+03	1.581215e+01
1.572179e+03	1.566870e+01
1.578468e+03	1.574860e+01
1.584782e+03	1.583622e+01
1.591121e+03	1.576951e+01
1.597485e+03	1.588072e+01
1.603875e+03	1.583993e+01
1.610291e+03	1.581949e+01
1.616732e+03	1.511741e+01
1.623199e+03	1.566859e+01
1.629691e+03	1.582106e+01
1.636210e+03	1.585951e+01
1.642755e+03	1.571757e+01
1.649326e+03	1.566867e+01
1.655923e+03	1.562103e+01
1.662547e+03	1.547699e+01
1.669197e+03	1.541678e+01
1.675874e+03	1.531591e+01
1.682578e+03	1.514390e+01
1.689308e+03	1.495037e+01
1.696065e+03	1.475937e+01
1.702849e+03	1.453847e+01
1.709661e+03	1.392086e+01
1.716499e+03	1.385211e+01
1.723365e+03	1.371454e+01
1.730259e+03	1.350418e+01
1.737180e+03	1.310335e+01
1.744129e+03	1.290990e+01
1.751105e+03	1.261658e+01
1.758110e+03	1.222144e+01
1.765142e+03	1.202824e+01
1.772203e+03	1.173408e+01
1.779291e+03	1.136572e+01
1.786409e+03	1.119224e+01
1.793554e+03	1.093473e+01
1.800728e+03	1.079275e+01
1.807931e+03	1.048761e+01
1.815163e+03	1.051172e+01
1.822424e+03	1.031944e+01
1.829713e+03	1.014689e+01
1.837032e+03	1.007495e+01
1.844380e+03	9.668823e+00
1.851758e+03	9.523823e+00
1.859165e+03	9.017411e+00
1.866602e+03	9.347676e+00
1.874068e+03	9.107927e+00
1.881564e+03	9.170431e+00
1.889090e+03	9.134051e+00
1.896647e+03	9.099143e+00
1.904233e+03	9.037735e+00
1.911850e+03	9.033647e+00
1.919498e+03	8.847751e+00
1.927176e+03	8.602785e+00
1.934884e+03	8.668773e+00
1.942624e+03	8.178857e+00
1.950394e+03	8.297584e+00
1.958196e+03	8.496393e+00
1.966029e+03	8.465646e+00
1.973893e+03	7.945846e+00
1.981789e+03	7.742798e+00
1.989716e+03	7.694123e+00
1.997675e+03	7.875883e+00
2.005665e+03	7.791444e+00
2.013688e+03	7.674218e+00
2.021743e+03	7.612996e+00
2.029830e+03	7.490996e+00
2.037949e+03	7.404248e+00
2.046101e+03	7.312171e+00
2.054285e+03	7.313823e+00
2.062502e+03	7.167412e+00
2.070752e+03	7.146063e+00
2.079035e+03	7.079432e+00
2.087351e+03	6.985984e+00
2.095701e+03	6.943473e+00
2.104084e+03	6.943962e+00
2.112500e+03	6.904629e+00
2.120950e+03	6.864564e+00
2.129434e+03	6.758657e+00
2.137952e+03	6.749020e+00
2.146503e+03	6.776966e+00
2.155089e+03	6.723726e+00
2.163710e+03	6.720242e+00
2.172365e+03	6.672092e+00
2.181054e+03	6.619292e+00
2.189778e+03	6.596973e+00
2.198537e+03	6.585312e+00
2.207331e+03	6.456860e+00
2.216161e+03	6.533487e+00
2.225025e+03	6.448371e+00
2.233926e+03	6.435169e+00
2.242861e+03	6.420966e+00
2.251833e+03	6.371222e+00
2.260840e+03	6.242978e+00
2.269883e+03	6.266786e+00
2.278963e+03	6.181722e+00
2.288079e+03	6.160649e+00
2.297231e+03	5.643955e+00
2.306420e+03	5.830805e+00
2.315646e+03	5.766659e+00
2.324908e+03	5.336439e+00
2.334208e+03	5.462229e+00
2.343545e+03	5.437115e+00
2.352919e+03	5.082982e+00
2.362331e+03	5.123210e+00
2.371780e+03	5.167479e+00
2.381267e+03	4.843817e+00
2.390792e+03	4.762713e+00
2.400355e+03	4.757634e+00
2.409957e+03	4.560611e+00
2.419597e+03	4.408276e+00
2.429275e+03	4.375636e+00
2.438992e+03	4.268561e+00
2.448748e+03	4.065190e+00
2.458543e+03	3.998509e+00
2.468377e+03	3.959239e+00
2.478251e+03	3.729707e+00
2.488164e+03	3.718572e+00
2.498116e+03	3.671720e+00
2.508109e+03	3.511629e+00
2.518141e+03	3.469913e+00
2.528214e+03	3.375204e+00
2.538327e+03	3.320623e+00
2.548480e+03	3.292439e+00
2.558674e+03	3.235283e+00
2.568909e+03	3.241027e+00
2.579184e+03	3.131803e+00
2.589501e+03	3.176110e+00
2.599859e+03	3.169491e+00
2.610258e+03	3.168676e+00
2.620699e+03	3.121214e+00
2.631182e+03	3.111416e+00
2.641707e+03	3.091017e+00
2.652274e+03	3.119574e+00
2.662883e+03	3.117250e+00
2.673534e+03	3.003041e+00
2.684229e+03	2.992803e+00
2.694965e+03	2.882945e+00
2.705745e+03	2.877246e+00
2.716568e+03	2.797929e+00
2.727435e+03	2.692148e+00
2.738344e+03	2.646127e+00
2.749298e+03	2.609786e+00
2.760295e+03	2.594910e+00
2.771336e+03	2.522667e+00
2.782421e+03	2.474682e+00
2.793551e+03	2.458646e+00
2.804725e+03	2.383242e+00
2.815944e+03	2.318697e+00
2.827208e+03	2.358325e+00
2.838517e+03	2.273449e+00
2.849871e+03	2.238077e+00
2.861270e+03	2.260065e+00
2.872715e+03	2.203001e+00
2.884206e+03	2.187176e+00
2.895743e+03	2.191019e+00
2.907326e+03	2.090549e+00
2.918955e+03	2.096139e+00
2.930631e+03	2.069673e+00
2.942354e+03	2.001177e+00
2.954123e+03	2.017227e+00
2.965940e+03	1.965750e+00
2.977803e+03	1.977009e+00
2.989715e+03	1.917899e+00
3.001673e+03	1.910836e+00
3.013680e+03	1.895359e+00
3.025735e+03	1.821738e+00
3.037838e+03	1.873649e+00
3.049989e+03	1.800964e+00
3.062189e+03	1.825685e+00
3.074438e+03	1.778692e+00
3.086736e+03	1.753653e+00
3.099083e+03	1.755187e+00
3.111479e+03	1.709937e+00
3.123925e+03	1.716836e+00
3.136421e+03	1.689189e+00
3.148966e+03	1.673980e+00
3.161562e+03	1.666678e+00
