# Spectrum of GJ486 at 1 AU (SPHINX)
# WL(nm)	Flux(ergs/cm**2/s/nm)
3.691171e+02	5.305226e-01
3.705936e+02	2.771936e-01
3.720760e+02	1.123773e-01
3.735643e+02	1.071711e-01
3.750586e+02	1.400965e-01
3.765588e+02	3.567990e-01
3.780650e+02	7.937683e-01
3.795773e+02	4.872230e-01
3.810956e+02	5.639814e-01
3.826200e+02	2.021467e-01
3.841505e+02	3.770391e-01
3.856871e+02	1.849412e-01
3.872298e+02	3.749748e-01
3.887787e+02	3.292950e-01
3.903338e+02	4.418750e-01
3.918952e+02	4.613006e-01
3.934628e+02	2.742732e-01
3.950366e+02	7.070360e-01
3.966167e+02	4.568551e-01
3.982032e+02	9.371863e-01
3.997960e+02	1.141248e+00
4.013952e+02	1.467399e+00
4.030008e+02	1.727060e+00
4.046128e+02	1.336823e+00
4.062312e+02	1.364610e+00
4.078562e+02	1.568850e+00
4.094876e+02	1.726156e+00
4.111255e+02	1.962424e+00
4.127701e+02	1.776113e+00
4.144211e+02	1.627686e+00
4.160788e+02	1.768388e+00
4.177431e+02	1.395098e+00
4.194141e+02	9.365869e-01
4.210918e+02	4.661218e-01
4.227761e+02	1.118962e-01
4.244672e+02	5.053140e-01
4.261651e+02	9.657682e-01
4.278698e+02	1.186126e+00
4.295812e+02	9.627739e-01
4.312996e+02	1.438157e+00
4.330248e+02	1.992426e+00
4.347569e+02	2.550865e+00
4.364959e+02	2.377930e+00
4.382419e+02	1.683126e+00
4.399948e+02	2.330180e+00
4.417548e+02	2.322604e+00
4.435218e+02	2.012239e+00
4.452959e+02	2.152334e+00
4.470771e+02	2.988550e+00
4.488654e+02	2.994476e+00
4.506609e+02	3.442320e+00
4.524635e+02	2.677167e+00
4.542734e+02	2.931622e+00
4.560905e+02	3.454270e+00
4.579148e+02	3.191470e+00
4.597465e+02	3.600288e+00
4.615855e+02	3.859417e+00
4.634318e+02	3.662413e+00
4.652855e+02	3.729729e+00
4.671467e+02	3.575617e+00
4.690153e+02	3.608833e+00
4.708913e+02	4.098302e+00
4.727749e+02	4.066821e+00
4.746660e+02	4.126415e+00
4.765647e+02	3.582276e+00
4.784709e+02	2.447674e+00
4.803848e+02	3.161342e+00
4.823063e+02	3.363522e+00
4.842356e+02	3.650256e+00
4.861725e+02	4.386554e+00
4.881172e+02	4.366833e+00
4.900697e+02	4.227281e+00
4.920300e+02	4.332777e+00
4.939981e+02	4.743311e+00
4.959741e+02	4.287276e+00
4.979580e+02	4.046846e+00
4.999498e+02	3.430779e+00
5.019496e+02	3.348541e+00
5.039574e+02	3.727594e+00
5.059732e+02	3.757876e+00
5.079971e+02	3.475473e+00
5.100291e+02	2.819799e+00
5.120692e+02	2.568643e+00
5.141175e+02	2.474726e+00
5.161740e+02	2.288111e+00
5.182387e+02	2.016093e+00
5.203116e+02	2.693356e+00
5.223929e+02	4.472195e+00
5.244824e+02	4.927309e+00
5.265804e+02	3.643608e+00
5.286867e+02	5.112962e+00
5.308014e+02	5.167754e+00
5.329246e+02	4.254699e+00
5.350563e+02	5.269076e+00
5.371966e+02	4.757141e+00
5.393453e+02	5.083960e+00
5.415027e+02	5.217743e+00
5.436687e+02	4.312337e+00
5.458434e+02	4.619670e+00
5.480268e+02	5.131012e+00
5.502189e+02	4.882905e+00
5.524198e+02	5.282926e+00
5.546295e+02	5.540660e+00
5.568480e+02	5.535406e+00
5.590754e+02	4.674396e+00
5.613117e+02	5.380975e+00
5.635569e+02	5.885719e+00
5.658111e+02	6.199751e+00
5.680744e+02	5.636552e+00
5.703467e+02	6.332655e+00
5.726281e+02	6.377129e+00
5.749186e+02	6.537182e+00
5.772183e+02	6.331656e+00
5.795271e+02	6.461044e+00
5.818452e+02	6.248022e+00
5.841726e+02	5.782727e+00
5.865093e+02	3.979904e+00
5.888553e+02	1.135260e+00
5.912108e+02	2.605206e+00
5.935756e+02	4.738723e+00
5.959499e+02	5.393662e+00
5.983337e+02	5.961065e+00
6.007270e+02	6.439654e+00
6.031300e+02	6.901590e+00
6.055425e+02	7.300755e+00
6.079646e+02	7.641155e+00
6.103965e+02	7.399405e+00
6.128381e+02	7.193279e+00
6.152894e+02	6.544331e+00
6.177506e+02	6.128548e+00
6.202216e+02	6.170528e+00
6.227025e+02	5.498246e+00
6.251933e+02	6.137030e+00
6.276941e+02	6.560543e+00
6.302048e+02	6.919488e+00
6.327257e+02	7.329985e+00
6.352566e+02	6.962055e+00
6.377976e+02	4.965012e+00
6.403488e+02	6.373884e+00
6.429102e+02	7.692548e+00
6.454818e+02	7.916518e+00
6.480637e+02	8.724484e+00
6.506560e+02	8.685107e+00
6.532586e+02	9.568010e+00
6.558717e+02	9.244777e+00
6.584951e+02	9.005188e+00
6.611291e+02	9.189992e+00
6.637736e+02	9.013149e+00
6.664287e+02	8.603791e+00
6.690945e+02	8.294113e+00
6.717708e+02	7.931774e+00
6.744579e+02	7.774148e+00
6.771557e+02	7.778665e+00
6.798644e+02	6.963680e+00
6.825838e+02	6.646480e+00
6.853142e+02	5.547411e+00
6.880554e+02	4.507635e+00
6.908076e+02	4.419659e+00
6.935709e+02	5.835295e+00
6.963452e+02	6.527269e+00
6.991305e+02	6.807282e+00
7.019271e+02	7.428545e+00
7.047348e+02	1.001151e+01
7.075537e+02	9.691091e+00
7.103839e+02	9.014999e+00
7.132255e+02	8.608857e+00
7.160784e+02	8.909365e+00
7.189427e+02	9.536040e+00
7.218184e+02	9.656194e+00
7.247057e+02	1.009524e+01
7.276045e+02	1.056476e+01
7.305150e+02	1.090602e+01
7.334370e+02	1.080851e+01
7.363708e+02	1.091545e+01
7.393162e+02	1.095100e+01
7.422735e+02	1.091486e+01
7.452426e+02	1.091765e+01
7.482236e+02	1.094192e+01
7.512165e+02	1.098837e+01
7.542213e+02	1.107104e+01
7.572382e+02	1.115488e+01
7.602672e+02	1.107688e+01
